JMJD4 KRAS
KRAS ATP1B3
KRAS CARHSP1
KRAS REX1BD
KRAS TOMM20
KRAS ZNF33A
KRAS ZSCAN9
KRAS NDUFS4
KRAS STMN1
KRAS LTA4H
KRAS SREBF2
KRAS SRP54
KRAS DCBLD2
KRAS PPP1R32
KRAS MATN2
KRAS RBM8A
KRAS UBE2D4
KRAS DCLRE1A
KRAS CCDC14
KRAS SLC35G2
KRAS DCTN4
KRAS SGMS1
KRAS STARD10
KRAS STK33
KRAS SDCCAG8
KRAS RAP1GDS1
KRAS AHCY
KRAS ZNF695
KRAS ITGA5
KRAS AGBL5
KRAS ANAPC1
KRAS FBXW8
KRAS NOL10
KRAS FABP4
KRAS DCAF1
KRAS LRRC32
KRAS HDAC9
KRAS UBTF
KRAS PDE3A
KRAS PXDC1
KRAS ELOVL3
KRAS ISY1
KRAS GATAD2A
KRAS GTPBP2
KRAS TEF
KRAS NAT8
KRAS RIDA
KRAS KBTBD3
KRAS CRNN
KRAS RAB29
KRAS WDR37
KRAS MRPL49
KRAS ANAPC2
KRAS EVC2
KRAS RASGEF1C
KRAS SNX10
KRAS TPP2
KRAS GSTA3
KRAS CCAR2
KRAS PLP1
KRAS CTTNBP2
KRAS UBE3B
KRAS LENG1
KRAS KLHL36
KRAS FAM9B
KRAS DET1
KRAS CLMN
KRAS PIM2
KRAS ODF3L1
KRAS HLA-DOB
KRAS RAD9B
KRAS CSTF1
KRAS LAMTOR3
KRAS SNRNP200
KRAS MOB3A
KRAS COL11A1
KRAS EOLA1
KRAS UTP25
KRAS HEBP2
KRAS CNOT9
KRAS CD82
KRAS NRDE2
KRAS PRKCSH
KRAS MICAL3
KRAS TOGARAM1
KRAS TCAF2
KRAS ZNF207
KRAS ALG3
KRAS GCM2
KRAS PRR4
KRAS UCHL5
KRAS MAP4
KRAS PSMB4
KRAS PSMB5
KRAS PSMB6
KRAS PINK1
KRAS KRT1
KRAS SLC26A6
KRAS TTC7B
KRAS TRIM36
KRAS PARP12
KRAS MPHOSPH10
KRAS LSS
KRAS DUSP22
KRAS RAB9B
KRAS UBA6
KRAS ACP6
KRAS FGL2
KRAS REG1A
KRAS GON4L
KRAS ATP13A4
KRAS LY6G6C
KRAS KLHL8
KRAS CNTN4
KRAS PRPF3
KRAS KHDRBS3
KRAS MTX2
KRAS DDX39B
KRAS EDA2R
KRAS GLYATL3
KRAS CD81
KRAS PLEKHS1
KRAS NUP43
KRAS CNTNAP1
KRAS NOP14
KRAS AGTR1
KRAS NANP
KRAS GATA6
KRAS ADAMDEC1
KRAS RBM39
KRAS HSD3B2
KRAS EEF1A1
KRAS CBL
KRAS CARM1
KRAS NET1
KRAS CCIN
KRAS CEBPZ
KRAS RSBN1
KRAS ATP5PD
KRAS SRR
KRAS NIFK
KRAS DIS3
KRAS SEPTIN4
KRAS CA12
KRAS ZBTB39
KRAS MIS18A
KRAS HCK
KRAS RTL6
KRAS ZBTB5
KRAS FA2H
KRAS MICAL1
KRAS UGCG
KRAS DDX52
KRAS RILPL2
KRAS NUMB
KRAS TMEM102
KRAS SPTY2D1
KRAS HDAC7
KRAS MAPK8
KRAS MAPK7
KRAS LMLN
KRAS NUP205
KRAS AK9
KRAS USP30
KRAS DNAJC11
KRAS KLK8
KRAS IFNA6
KRAS FZD8
KRAS ATG4A
KRAS NCAPD2
KRAS WDR97
KRAS PSMA7
KRAS PSMA4
KRAS PSMA6
KRAS PSMA5
KRAS PSMA1
KRAS KICS2
KRAS SDR42E1
KRAS BCL2L13
KRAS LTBP2
KRAS GPN3
KRAS HSPA14
KRAS LSM3
KRAS HSCB
KRAS ARID5A
KRAS ILK
KRAS PTPN1
KRAS DCLK2
KRAS MACROD2
KRAS UBA52
KRAS SYT14
KRAS SF3A1
KRAS JAK1
KRAS ARPC2
KRAS IL1RAP
KRAS SERINC1
KRAS RPP25L
KRAS DPAGT1
KRAS ALKBH3
KRAS MYO1E
KRAS GRM8
KRAS ICOS
KRAS CCDC170
KRAS TNIK
KRAS CTNNA1
KRAS SVIL
KRAS TOMM40
KRAS PIN1
KRAS CENPE
KRAS RNF166
KRAS DHX9
KRAS GP9
KRAS BCL2L1
KRAS USP9X
KRAS TTC21B
KRAS SAE1
KRAS GPATCH1
KRAS CRY2
KRAS COX7B
KRAS DYNLRB1
KRAS MAP3K1
KRAS ORC5
KRAS CCDC82
KRAS ACE2
KRAS HAPSTR1
KRAS HIGD2A
KRAS MAGOH
KRAS DCAF13
KRAS UBE2K
KRAS FCHO1
KRAS ODC1
KRAS FBXO44
KRAS NEDD4L
KRAS MYLK3
KRAS ILDR2
KRAS EXOSC1
KRAS MRPL3
KRAS CRNKL1
KRAS VDAC1
KRAS ZNF764
KRAS ZFC3H1
KRAS NFATC2
KRAS CLPX
KRAS POLR1G
KRAS DNAJB8
KRAS TMEM86B
KRAS NEU1
KRAS BPIFA2
KRAS TAP2
KRAS MAPK14
KRAS MTBP
KRAS RPGR
KRAS RASGRF2
KRAS TFCP2L1
KRAS PALMD
KRAS STT3A
KRAS SNRPD2
KRAS NXT2
KRAS POLB
KRAS NAB1
KRAS CSNK2A1
KRAS PRKAR2B
KRAS ISG20L2
KRAS VHL
KRAS ARPC5L
KRAS R3HDM2
KRAS ZMYM5
KRAS ATAD2B
KRAS RPIA
KRAS SQSTM1
KRAS SNW1
KRAS DGKI
KRAS TUBAL3
KRAS LTK
KRAS RNF128
KRAS PGPEP1
KRAS TTBK2
KRAS PRTFDC1
KRAS NUP93
KRAS TCHHL1
KRAS SCN4A
KRAS RPF2
KRAS MMUT
KRAS RLF
KRAS BCAS2
KRAS EGFR
KRAS LIG3
KRAS GEMIN5
KRAS IL2RB
KRAS IL2RG
KRAS PCGF5
KRAS RPP38
KRAS FRMPD1
KRAS PPM1E
KRAS AGPAT2
KRAS ULBP2
KRAS CD226
KRAS COPS5
KRAS ERN2
KRAS ZNF74
KRAS HMGN2
KRAS DIDO1
KRAS ZNF76
KRAS DHX15
KRAS CSE1L
KRAS CS
KRAS CYFIP1
KRAS UBAP2L
KRAS CNGA2
KRAS FAM167A
KRAS KANSL1
KRAS IFT80
KRAS ICMT
KRAS NOL8
KRAS DDX46
KRAS ELOA
KRAS PHF7
KRAS TRMO
KRAS TRIM3
KRAS JADE2
KRAS USP49
KRAS ARHGAP18
KRAS HEMK1
KRAS ATP1A2
KRAS CDCA8
KRAS RAD51AP2
KRAS FARS2
KRAS XK
KRAS PDE4DIP
